id,nombre,latitud,longitud,osm_node,distancia_osm_node_m,snap_sospechoso
10761,Av. Suertes - Rafael Leon-Jose Gutierrez,40.3676514236769,-3.60039264705305,316751502,76.15110637558632,False
11092,Av.Ensanche de Vallecas - AccesoVia Servicio M45 N-S y Acceso Via Servicio M45 S-N,40.3671719762191,-3.60574735245963,312617346,36.159058618234404,False
3482,Av. Gran Vía del Este - Gran Vía del Este E-O,40.3840172168648,-3.62359578211349,382204208,46.698882166428476,False
5228,Gonzalez Davila - Luis I-Cno. Hormigueras,40.3766076897803,-3.63915544815751,303157824,8.639454781635926,False
5230,Felipe Alvarez - Manuel Pavia-Jesus del Pino,40.382036567659,-3.62349322543051,316772298,16.098233002664543,False
5644,San Jaime - Pl. San Jaime-Sierra de Guadalupe,40.3810386057045,-3.62498691613157,316775076,19.7639590147577,False
10156,Jesus del Pino - Puerto Idiazabal-Felipe Álvarez,40.3814240892495,-3.62363215071711,309889723,15.42945056243093,False
5200,Puerto de Pilas - Sierra Gredos-San Jaime,40.37915216259,-3.62731696028989,308616315,31.986357903943983,False
5209,Real de Arganda - Puerto Reinosa-Torcal,40.3794943060027,-3.61713934498115,13451270231,11.76527476641326,False
3772,Sierra Torcal - Monte Montjuich-Real Arganda,40.3796034754464,-3.61728721277521,13451270231,13.85803520239453,False
5210,Real de Arganda - Sierra Gor-Torcal,40.3794655294111,-3.61745777545299,13451270231,15.403639600904986,False
5211,Puentelarra - Puentelarra- Santa Eugenia,40.3844009333726,-3.60577816877606,309890496,23.445982629382005,False
5231,Av. Democracia - Ctra. Vicalvaro a Vallecas- A-3,40.3846481333825,-3.62452324626749,31030538,18.602721514264612,False
11093,Vía de servicio M-45 Acceso Av.Ensanche de Vallecas - M45 - Av. Ensanche de Vallecas,40.3658345173335,-3.60643256060289,312617293,94.6016741029727,False
11120,Av. Ensanche Vallecas - José Gutiérrez-M45,40.3660120224397,-3.6037535955625,876371580,29.886866840012843,False
11121,Ensanche Vallecas - José Gutiérrez-M45,40.3659197121737,-3.60383823078322,876371580,27.53782693205948,False
